Date,Open,High,Low,Close,Adj Close,Volume
22/07/2020,44.790001,46.5,44.25,45.060001,45.060001,1537948
23/07/2020,45.16,45.610001,43.93,44.77,44.77,758031
24/07/2020,45,45.77,44.599998,45.200001,45.200001,1136633
27/07/2020,45.490002,45.549999,44.849998,45.209999,45.209999,463534
28/07/2020,45.599998,45.650002,43.720001,44.549999,44.549999,2260016
29/07/2020,44.549999,46.450001,44.25,44.799999,44.799999,632569
30/07/2020,45.080002,46.009998,44.25,45.02,45.02,1511025
31/07/2020,45.110001,45.810001,44.07,44.919998,44.919998,1223456
03/08/2020,45.610001,46.549999,45.419998,46.279999,46.279999,430165
04/08/2020,46.68,49.869999,46.68,48.459999,48.459999,1545730
05/08/2020,48.369999,50.43,48.369999,49.630001,49.630001,1647725
06/08/2020,49.790001,50,48.900002,49.75,49.75,1157971
07/08/2020,49.779999,52.130001,49.380001,50.610001,50.610001,1087546
10/08/2020,50.68,50.73,50.16,50.32,50.32,855187
11/08/2020,50.419998,51.040001,50.419998,50.82,50.82,1740610
12/08/2020,51,51,48.02,48.259998,48.259998,1026913
13/08/2020,48.279999,48.68,46.709999,46.970001,46.970001,919666
14/08/2020,47,47.970001,46.77,47.119999,47.119999,858911
17/08/2020,47.060001,47.450001,45.509998,45.66,45.66,1018119
18/08/2020,45.759998,46,44.790001,45.049999,45.049999,862158
19/08/2020,45,47.48,45,47.330002,47.330002,1326381
20/08/2020,47.380001,47.380001,46.200001,47.169998,47.169998,621451
21/08/2020,47.110001,47.110001,46.650002,46.849998,46.849998,893646
24/08/2020,47.099998,47.099998,45.25,45.34,45.34,359566
25/08/2020,45.540001,46.529999,45.259998,46.290001,46.290001,988932
26/08/2020,46.400002,46.540001,45.380001,45.990002,45.990002,1192453
27/08/2020,46.060001,46.740002,45.599998,45.709999,45.709999,1253297
28/08/2020,45.77,46.75,45.560001,46.470001,46.470001,293346
31/08/2020,46.470001,46.48,45,46.099998,46.099998,1064708
01/09/2020,46.43,46.700001,45.330002,46.389999,46.389999,1325043
02/09/2020,46.830002,47.59,46,46.73,46.73,824606
03/09/2020,46.630001,46.630001,45.009998,46.27,46.27,877676
04/09/2020,46.27,46.27,45.040001,45.369999,45.369999,826158
07/09/2020,45.459999,45.459999,45.099998,45.259998,45.259998,27367
08/09/2020,45.48,46.560001,45.48,45.990002,45.990002,809689
09/09/2020,46.09,48.700001,45.580002,46.860001,46.860001,3794787
10/09/2020,47.119999,49,46.540001,47.830002,47.830002,1332493
11/09/2020,47.830002,47.98,46.169998,46.400002,46.400002,683033
14/09/2020,46.5,47.25,46.5,47.049999,47.049999,424427
15/09/2020,47.150002,47.599998,46.509998,47.02,47.02,1271668
17/09/2020,47.110001,47.720001,46.5,47.459999,47.459999,1150930
18/09/2020,47.560001,48.400002,46.830002,47.75,47.75,1685441
21/09/2020,47.849998,48,45,45.139999,45.139999,708553
22/09/2020,45.209999,45.720001,45.099998,45.59,45.59,800092
23/09/2020,45.490002,46.869999,45.310001,46.470001,46.470001,599287
24/09/2020,46.57,48.98,45.669998,47.389999,47.389999,656690
25/09/2020,47.290001,47.459999,46.310001,47.029999,47.029999,360218
28/09/2020,47.130001,48.630001,47.130001,47.98,47.98,7268611
29/09/2020,48.080002,49.700001,48.07,48.759998,48.759998,885681
30/09/2020,48.759998,50.59,48.27,50.110001,50.110001,1139258
01/10/2020,50.209999,52.169998,50.209999,51.950001,51.950001,1833778
02/10/2020,51.41,51.68,49.360001,49.84,49.84,624429
05/10/2020,50.130001,50.470001,47.75,48.290001,48.290001,336910
06/10/2020,48.32,51.799999,48.32,50.98,50.98,1020552
07/10/2020,51.080002,51.689999,49.23,49.93,49.93,541512
08/10/2020,50.060001,50.060001,48.599998,49.16,49.16,597002
09/10/2020,49.169998,50.099998,49.16,49.16,49.16,407155
12/10/2020,49.549999,49.900002,49.43,49.740002,49.740002,474161
13/10/2020,49.709999,50.18,49.419998,49.759998,49.759998,645210
14/10/2020,49.880001,50,47,47.389999,47.389999,734803
15/10/2020,47.189999,48.169998,45.5,45.73,45.73,735997
16/10/2020,45.5,46.299999,45.5,46.099998,46.099998,1767064
